category,item,keyword,unit_cost,market_price_cap,shoppable,logistics,cert,expansion,notes
주방조리,원목 서빙 트레이,원목트레이,8000,34000,10,7,5,3,
주방조리,실리콘 계량스푼 세트,계량스푼,3000,15000,10,10,5,4,
주방조리,논스틱 프라이팬,논스틱팬,13000,52000,10,6,5,4,
주방조리,스텐 집게 세트,주방집게,3500,17000,10,10,5,5,
주방조리,다용도 채칼,채칼,5000,22000,10,10,6,4,
주방조리,전자레인지 찜기,전자레인지찜기,6000,26000,10,9,5,4,
주방조리,수동 마늘 다지기,마늘다지기,4000,19000,10,10,6,4,
주방조리,계란 삶기 용기,계란찜기,5000,22000,10,9,5,3,
주방조리,실리콘 베이킹 매트,베이킹매트,4500,20000,10,10,5,4,
주방조리,대나무 찜기,대나무찜기,7000,30000,10,8,5,3,
주방조리,주방 온도계 디지털,주방온도계,6000,25000,10,10,7,3,
주방수납,냉장고 정리 밀폐용기,냉장고정리용기,8000,34000,10,8,5,5,세트 판매
주방수납,싱크대 하부 선반,싱크대선반,9000,38000,10,7,10,4,
주방수납,수저통 스텐,수저통,5000,22000,10,9,5,4,
주방수납,양념통 세트,양념통세트,7000,30000,10,8,5,5,
주방수납,컵 정리 선반,컵선반,6000,26000,10,8,10,4,
주방수납,랩 커터기,랩커터,4000,19000,10,10,10,4,
주방수납,냄비 뚜껑 거치대,냄비뚜껑거치대,5000,22000,10,9,10,3,
주방수납,도마 거치대,도마거치대,4500,20000,10,9,10,3,
주방수납,식기건조대 2단,식기건조대,14000,55000,10,5,10,4,
주방수납,주방 후크 무타공,주방후크,2500,14000,10,10,10,5,
주방수납,비닐봉투 디스펜서,봉투디스펜서,4000,19000,10,10,10,4,
주방수납,쌀통 밀폐형,쌀통,11000,45000,10,6,5,3,
주방수납,진공 밀폐 용기,진공밀폐용기,9000,38000,10,8,5,5,
주방수납,커트러리 서랍정리함,커트러리정리함,5500,24000,10,9,10,4,
주방수납,와인랙 소형,와인랙,7000,30000,10,8,10,3,
주방수납,조미료 회전 트레이,회전트레이,6000,26000,10,9,10,3,
주방수납,싱크대 물빠짐 트레이,싱크대트레이,4500,20000,10,9,10,4,
주방수납,벽걸이 칼꽂이,칼꽂이,5000,22000,10,9,10,3,
주방수납,냉동실 칸막이,냉동실정리,4000,19000,10,10,10,5,
주방수납,텀블러 세척 브러시,텀블러브러시,2500,13000,10,10,10,5,
생활수납,이불 진공압축팩,이불진공압축팩,4500,22000,10,10,10,5,환절기 스파이크
생활수납,논슬립 옷걸이 100개,논슬립옷걸이,7000,30000,10,9,10,5,대량 구성
생활수납,서랍 칸막이 정리함,서랍정리함,5000,22000,10,10,10,5,
생활수납,높이조절 신발정리대,신발정리대,6000,26000,10,8,10,4,이사 시즌
생활수납,무타공 압축 커튼봉,무타공커튼봉,5500,24000,10,9,10,4,
생활수납,손잡이 수납바구니,수납바구니,4000,19000,10,9,10,5,
생활수납,옷장 정리 선반,옷장선반,7000,30000,10,8,10,4,
생활수납,여행용 압축 파우치,압축파우치,5000,22000,10,10,10,5,
생활수납,침대 밑 수납함,침대밑수납함,8000,34000,10,6,10,4,
생활수납,빨래 바구니 접이식,빨래바구니,6000,26000,10,7,10,4,
생활수납,신발장 탈취제,신발장탈취제,3000,15000,10,10,3,5,생활화학 신고
생활수납,가방 정리 파티션,가방정리,4500,20000,10,10,10,4,
생활수납,벽걸이 우산꽂이,우산꽂이,5000,22000,10,9,10,3,
생활수납,다용도 후크 강력접착,강력접착후크,2500,14000,10,10,10,5,
생활수납,책상 서랍 정리트레이,서랍트레이,4000,19000,10,10,10,5,
생활수납,의류 커버 방진,의류커버,3500,17000,10,10,10,5,
생활수납,계절 옷 보관함,옷보관함,7000,30000,10,7,10,4,
생활수납,넥타이 벨트 정리대,벨트정리대,4000,19000,10,10,10,3,
생활수납,현관 슬리퍼 정리대,슬리퍼정리대,5500,24000,10,8,10,4,
생활수납,모자 정리 걸이,모자걸이,3500,17000,10,10,10,4,
청소세탁,밀대 청소포 리필,밀대청소포,5000,28000,10,9,10,5,검증 -4.5% 보합
청소세탁,창틀 청소 브러시 세트,창틀청소브러시,4500,20000,10,10,10,4,봄 스파이크
청소세탁,극세사 청소 타월,극세사타월,9000,40000,9,8,10,4,숙박업 B2B
청소세탁,양면 청소 장갑,청소장갑,3000,16000,10,10,10,5,
청소세탁,돌돌이 테이프 클리너,테이프클리너,3000,15000,10,10,10,5,소모품
청소세탁,세탁조 클리너,세탁조클리너,4000,18000,10,9,3,5,생활화학 신고
청소세탁,빨래건조대 접이식,실내빨래건조대,15000,58000,10,4,10,4,볼륨 최상위
청소세탁,세탁망 세트,세탁망,3500,17000,10,10,10,5,
청소세탁,다리미판 스탠드형,다리미판,14000,55000,10,5,10,3,
청소세탁,보풀 제거기,보풀제거기,7000,30000,10,10,2,4,전기용품 KC
청소세탁,욕실 스퀴지,욕실스퀴지,3500,17000,10,10,10,4,
청소세탁,먼지떨이 신축형,먼지떨이,4000,19000,10,9,10,4,
청소세탁,진공 청소기 필터 호환,청소기필터,5000,22000,10,10,8,5,소모품
청소세탁,매트리스 청소 브러시,매트리스브러시,6000,26000,10,9,10,3,
청소세탁,유리창 양면 청소기,유리창청소기,9000,38000,10,9,10,3,
청소세탁,배수구 세정제,배수구세정제,3500,17000,10,9,3,5,생활화학 신고
청소세탁,행주 소독 집게,행주집게,2500,13000,10,10,10,4,
청소세탁,빨래 건조 행거,빨래행거,6000,26000,10,7,10,4,
청소세탁,신발 세탁 브러시,신발세탁솔,3000,15000,10,10,10,4,
청소세탁,정전기 먼지 청소포,정전기청소포,3500,17000,10,10,10,5,소모품
침구수면,경추 베개,경추베개,12000,50000,10,9,10,5,검증 +24% 30-40대
침구수면,다리 베개,다리베개,11000,55000,10,8,10,4,2026 하반기 반등
침구수면,바디필로우 롱쿠션,바디필로우,14000,60000,10,6,10,4,커버 별매
침구수면,메밀 베개,메밀베개,10000,42000,10,8,10,4,중장년 타깃
침구수면,방수 매트리스 커버,방수매트리스커버,12000,50000,10,7,10,5,육아 겸용
침구수면,3D 입체 수면 안대,수면안대,3000,16000,10,10,10,5,고마진
침구수면,수면용 소음차단 귀마개,수면귀마개,2500,14000,10,10,7,5,소모품
침구수면,침대 모기장 원터치,침대모기장,9000,38000,10,6,10,4,6월 정점 진폭25배
침구수면,냉감 인견 패드,냉감패드,13000,52000,10,6,10,5,5-7월 집중
침구수면,극세사 겨울 이불,극세사이불,18000,70000,10,4,10,4,10-1월 집중
침구수면,베개 커버 2매,베개커버,4500,20000,10,10,10,5,리필 축
침구수면,토퍼 매트리스,토퍼,25000,95000,10,3,10,3,부피 큼
침구수면,무릎 담요,무릎담요,6000,26000,10,9,10,4,겨울
침구수면,목쿠션 여행용,목쿠션,5000,22000,10,10,10,4,
침구수면,라텍스 베개,라텍스베개,14000,58000,10,8,10,4,
침구수면,아이 낮잠 이불,낮잠이불,11000,45000,10,7,3,4,어린이제품 KC
침구수면,침구 청소 롤러,침구롤러,4000,19000,10,10,10,4,
침구수면,수면 조명 무드등,수면등,7000,30000,10,9,2,4,전기용품 KC
침구수면,이불 커버 사계절,이불커버,15000,60000,10,6,10,5,
침구수면,방석 좌식 쿠션,좌식방석,7000,30000,10,8,10,5,
거실인테리어,러그 카펫 소형,러그,16000,65000,10,5,10,4,
거실인테리어,커튼 암막,암막커튼,14000,58000,10,6,10,5,
거실인테리어,플로어 스탠드 조명,플로어스탠드,22000,88000,10,5,2,3,전기용품 KC
거실인테리어,벽 선반 우드,벽선반,8000,34000,10,8,10,4,
거실인테리어,액자 프레임 세트,액자,6000,26000,10,7,10,5,
거실인테리어,디퓨저 리드,디퓨저,7000,30000,10,9,3,5,생활화학 신고
거실인테리어,조화 화분 인테리어,조화,6500,28000,10,8,10,4,
거실인테리어,화분 자동 급수,화분,7000,30000,10,7,10,4,
거실인테리어,벽시계 무소음,무소음벽시계,8000,34000,10,8,8,3,
거실인테리어,쿠션 커버,쿠션커버,5000,22000,10,10,10,5,
거실인테리어,블라인드 롤스크린,롤스크린,13000,52000,10,6,10,4,
거실인테리어,문틈 방풍 막이,문풍지,3500,17000,10,10,10,5,겨울
거실인테리어,러그 미끄럼방지 패드,러그패드,4000,19000,10,10,10,4,
거실인테리어,코너 선반 5단,코너선반,12000,48000,10,6,10,3,
거실인테리어,접이식 사이드 테이블,사이드테이블,15000,60000,10,5,10,3,
거실인테리어,벽지 스티커 리폼,벽지스티커,5500,24000,10,9,10,5,
거실인테리어,수납 스툴 오토만,수납스툴,14000,55000,10,5,10,3,
거실인테리어,센서 무드등 야간,센서등,6000,26000,10,10,2,5,전기용품 KC
거실인테리어,커튼 타이백,커튼타이백,2500,13000,10,10,10,4,
거실인테리어,러그 클리너 브러시,러그브러시,4500,20000,10,10,10,3,
홈오피스,원목 모니터 받침대,모니터받침대,9000,38000,10,7,10,4,
홈오피스,알루미늄 노트북 스탠드,노트북거치대,8000,34000,10,9,10,4,
홈오피스,키보드 손목 받침,손목받침,4000,19000,10,10,10,5,
홈오피스,대형 데스크 매트,데스크매트,7000,30000,10,9,10,5,
홈오피스,모니터암 클램프,모니터암,25000,95000,10,6,10,3,설치 영상 필수
홈오피스,발 받침대 풋레스트,발받침대,9000,38000,10,8,10,3,
홈오피스,의자 등받이 쿠션,허리쿠션,7000,30000,10,9,7,5,효능 표현 주의
홈오피스,꼬리뼈 방석,꼬리뼈방석,8000,34000,10,9,7,5,
홈오피스,케이블 정리 트레이,선정리트레이,5000,22000,10,10,10,5,
홈오피스,케이블 정리 클립,케이블클립,2000,12000,10,10,10,5,대량 세트
홈오피스,접이식 태블릿 거치대,태블릿거치대,5500,24000,10,10,10,4,
홈오피스,책상 조명 스탠드,책상스탠드,11000,45000,10,8,2,4,전기용품 KC
홈오피스,서류 정리 트레이,서류트레이,5000,22000,10,9,10,4,
홈오피스,화이트보드 소형,화이트보드,7000,30000,10,8,10,4,
홈오피스,독서대 접이식,독서대,6000,26000,10,9,10,4,
홈오피스,모니터 후크 걸이,모니터후크,3000,15000,10,10,10,4,
홈오피스,책상 파티션 가림막,책상파티션,9000,38000,10,7,10,3,
홈오피스,마우스 손목 받침,마우스손목받침,3000,15000,10,10,10,5,
홈오피스,의자 바퀴 소음방지,의자바퀴,6000,26000,10,10,10,4,
홈오피스,노트북 쿨링패드,쿨링패드,9000,36000,10,9,3,3,전기용품 KC
PC모바일,USB 허브 C타입,USB허브,9000,36000,10,10,2,4,전기용품 KC 저가경쟁
PC모바일,휴대폰 거치대 차량용,핸드폰거치대,4000,19000,10,10,9,5,
PC모바일,보조배터리 케이스,보조배터리케이스,3500,17000,10,10,9,4,
PC모바일,이어폰 케이스 실리콘,이어폰케이스,3000,15000,10,10,10,5,
PC모바일,노트북 파우치,노트북파우치,7000,30000,10,9,10,5,
PC모바일,키보드 키캡 세트,키캡,8000,34000,10,10,10,5,
PC모바일,마우스패드 대형,마우스패드,5000,22000,10,10,10,5,
PC모바일,웹캠 커버 슬라이드,웹캠커버,1500,10000,10,10,10,4,
PC모바일,모니터 조명 스크린바,스크린바,16000,65000,10,9,2,3,전기용품 KC
PC모바일,케이블 충전 보호캡,케이블보호,2000,12000,10,10,10,5,
PC모바일,스마트폰 링홀더,링홀더,2000,12000,10,10,10,5,
PC모바일,차량 무선충전 거치대,무선충전거치대,12000,48000,10,9,2,3,전기용품 KC
PC모바일,태블릿 필름 보호,태블릿필름,4000,19000,10,10,10,5,
PC모바일,휴대폰 방수팩,방수팩,3000,15000,10,10,9,5,여름 강세
PC모바일,셀카봉 삼각대,셀카봉,7000,30000,10,10,8,4,
PC모바일,게임패드 그립,게임패드그립,5000,22000,10,10,9,4,
PC모바일,모니터 먼지 클리너,모니터클리너,3000,15000,10,10,9,5,
PC모바일,랩탑 도킹 스탠드,도킹스탠드,14000,55000,10,9,3,3,전기용품 KC
PC모바일,키보드 커버 방수,키보드커버,3000,15000,10,10,10,5,
PC모바일,USB 선풍기 미니,USB선풍기,5000,22000,10,10,3,4,전기용품 KC 여름
시니어안전,접이식 4발 지팡이,어르신지팡이,14000,55000,10,8,7,4,절대 볼륨 최상위
시니어안전,욕실 목욕의자,목욕의자,16000,62000,10,6,8,4,시니어 4종
시니어안전,보행보조기 실버카,보행보조기,55000,200000,10,4,7,3,검증 0% 무진폭
시니어안전,LED 확대 돋보기,돋보기,7000,30000,10,10,7,4,LED는 KC 확인
시니어안전,요일별 약통 정리함,약통,4000,19000,10,10,10,5,요양원 B2B
시니어안전,침대 안전 가드,침대안전가드,18000,70000,10,5,7,3,
시니어안전,회전 방석 차량용,회전방석,9000,38000,10,9,10,3,승하차 보조
시니어안전,욕창 방지 방석,욕창방석,14000,55000,10,8,5,3,효능 표현 주의
시니어안전,미끄럼방지 양말,미끄럼방지양말,3000,15000,10,10,10,5,요양원 B2B
시니어안전,식사 보조 손잡이 수저,보조수저,5000,22000,10,10,6,4,
시니어안전,기립 보조 손잡이,기립보조손잡이,12000,48000,10,7,7,3,
시니어안전,성인용 턱받이 방수,성인턱받이,4500,20000,10,10,7,5,요양원 B2B
시니어안전,실버 워커 바퀴,워커바퀴,9000,38000,10,8,7,3,
시니어안전,낙상 감지 매트,낙상매트,16000,62000,10,7,3,3,전기용품 KC
시니어안전,대형 버튼 리모컨,큰버튼리모컨,8000,34000,10,10,4,3,
시니어안전,보청기 배터리 호환,보청기배터리,4000,19000,10,10,4,5,소모품
시니어안전,실버 목욕 타월 장갑,목욕타월,3000,15000,10,10,10,5,
시니어안전,휠체어 쿠션,휠체어쿠션,13000,52000,10,7,5,3,
시니어안전,실내용 보행 손잡이,실내손잡이,10000,42000,10,8,8,4,
시니어안전,경사로 문턱 제거기,문턱경사로,11000,45000,10,7,8,4,
건강관절,무릎 보호대,무릎보호대,5000,25000,10,10,6,5,검증 -5% 보합
건강관절,손목 발목 보호대,손목보호대,4000,20000,10,10,6,5,볼륨 최대
건강관절,종아리 압박 스타킹,압박스타킹,6000,26000,10,10,5,5,의료기기 표방 금지
건강관절,무지외반 발가락 교정기,무지외반교정기,3500,17000,10,10,5,5,효능 표현 금지
건강관절,폼롤러 마사지볼 세트,폼롤러,9000,38000,10,7,9,5,
건강관절,온열 찜질팩 전자레인지,온열찜질팩,6000,26000,10,9,9,5,비전기형 권장
건강관절,자세교정 벨트,자세교정벨트,7000,30000,10,10,5,4,효능 표현 금지
건강관절,발 마사지 롤러,발마사지기,6000,26000,10,10,8,4,
건강관절,목 스트레칭 기구,목스트레칭,8000,34000,10,9,6,3,
건강관절,손가락 악력기,악력기,4000,19000,10,10,9,5,
건강관절,아치 서포트 깔창,아치깔창,4500,20000,10,10,7,5,
건강관절,팔꿈치 보호대,팔꿈치보호대,4000,19000,10,10,6,5,
건강관절,허리 복대 벨트,허리복대,7000,30000,10,10,5,4,
건강관절,마사지건 미니,마사지건,22000,88000,10,9,3,3,전기용품 KC
건강관절,지압 슬리퍼,지압슬리퍼,5000,22000,10,9,9,4,
건강관절,어깨 견인 밴드,어깨밴드,4000,19000,10,10,6,5,
건강관절,척추 스트레칭 보드,스트레칭보드,12000,48000,10,7,7,3,
건강관절,발목 웨이트,발목모래주머니,7000,30000,10,8,9,5,
건강관절,목베개 경추 견인,경추견인기,11000,45000,10,8,5,3,
건강관절,손목 터널 보호대,손목터널,4500,20000,10,10,6,5,
뷰티바디,IPL 가정용 제모기,IPL제모기,45000,180000,10,7,0,3,검증 +55% KC 필수
뷰티바디,발 각질 제거기,발각질제거기,6000,26000,10,10,7,4,겨울 강세
뷰티바디,두피 마사지 브러시,두피브러시,3500,17000,10,10,9,5,
뷰티바디,메이크업 브러시 세트,메이크업브러시,8000,34000,10,10,7,5,
뷰티바디,화장솜 리유저블,화장솜,3000,15000,10,10,7,5,소모품
뷰티바디,헤어 롤 셀프,헤어롤,2500,13000,10,10,9,5,
뷰티바디,네일 파일 세트,네일파일,3000,15000,10,10,8,5,
뷰티바디,페이스 롤러 괄사,페이스롤러,5000,22000,10,10,8,4,
뷰티바디,샤워 타월 때수건,샤워타월,2500,13000,10,10,9,5,
뷰티바디,헤어 드라이 타월캡,헤어타월,4000,19000,10,10,9,5,
뷰티바디,눈썹 정리 트리머,눈썹정리기,5000,22000,10,10,5,4,
뷰티바디,바디 스크럽 브러시,바디브러시,4000,19000,10,10,9,4,
뷰티바디,화장품 정리함 아크릴,화장품정리함,8000,34000,10,8,10,5,
뷰티바디,헤어 집게핀 대형,헤어집게,2500,13000,10,10,10,5,
뷰티바디,족욕기 대야,족욕대야,9000,38000,10,7,8,3,
뷰티바디,손톱깎이 세트,손톱깎이세트,5000,22000,10,10,9,4,
뷰티바디,마사지 괄사 스톤,괄사,4000,19000,10,10,8,4,
뷰티바디,헤어밴드 세안용,세안밴드,2500,13000,10,10,10,5,
뷰티바디,거울 확대 탁상,탁상거울,7000,30000,10,8,9,4,
뷰티바디,입욕제 보관 용기,입욕제용기,3500,17000,10,10,8,4,
반려견,강아지 산책 하네스,강아지하네스,7000,30000,10,10,9,5,사이즈 SKU
반려견,배변패드 대용량,강아지배변패드,9000,38000,10,7,8,5,정기배송
반려견,반려견 계단 스텝,강아지계단,14000,55000,10,6,9,4,슬개골 키워드
반려견,셀프클리닝 털제거 브러시,강아지빗,6000,26000,10,10,9,4,환절기
반려견,노즈워크 담요,노즈워크,7000,30000,10,9,9,5,
반려견,강아지 유모차,강아지유모차,55000,190000,10,3,8,3,검증 -11% 보합
반려견,속건 펫 타월 가운,강아지목욕타월,6000,26000,10,10,9,5,
반려견,강아지 자동 급수기,강아지급수기,14000,55000,10,8,2,5,전기용품 KC
반려견,반려견 카시트,강아지카시트,16000,62000,10,6,9,3,
반려견,강아지 우비 레인코트,강아지우비,7000,30000,10,10,9,5,장마철
반려견,펫 발톱깎이,강아지발톱깎이,4000,19000,10,10,9,4,
반려견,강아지 이동장 켄넬,강아지이동장,18000,70000,10,5,9,3,
반려견,반려견 방석 쿠션,강아지방석,9000,38000,10,7,9,5,
반려견,강아지 급식기 자동,강아지자동급식기,25000,95000,10,7,2,3,전기용품 KC
반려견,강아지 장난감 노즈,강아지장난감,4000,19000,10,10,9,5,
반려견,반려견 신발 부츠,강아지신발,6000,26000,10,10,9,5,
반려견,강아지 배변봉투 대용량,배변봉투,3000,15000,10,10,9,5,소모품
반려견,반려견 실내 울타리,강아지울타리,22000,88000,10,4,9,3,
반려견,강아지 물티슈 대용량,강아지물티슈,4000,19000,10,9,4,5,소모품
반려견,반려견 훈련 클리커,클리커,2500,13000,10,10,9,4,
반려묘,골판지 고양이 스크래처,고양이스크래처,7000,30000,10,7,9,5,소모품
반려묘,고양이 화장실 모래삽,모래삽,3500,17000,10,10,9,4,
반려묘,고양이 자동 급수기,고양이급수기,14000,55000,10,8,2,5,전기용품 KC 필터
반려묘,고양이 캣타워,캣타워,35000,135000,10,3,9,3,부피 큼
반려묘,고양이 이동장 백팩,고양이이동장,18000,70000,10,6,9,3,병원 트리거
반려묘,고양이 낚싯대 장난감,고양이낚싯대,3000,15000,10,10,9,5,
반려묘,캣닢 장난감,캣닢,3000,15000,10,10,5,5,
반려묘,고양이 그루밍 빗,고양이빗,4500,20000,10,10,9,4,
반려묘,고양이 발톱 커버,발톱커버,3000,15000,10,10,9,5,
반려묘,고양이 터널 놀이,고양이터널,7000,30000,10,8,9,4,
반려묘,고양이 식기 높이,고양이식기,6000,26000,10,9,9,4,
반려묘,고양이 침대 하우스,고양이하우스,12000,48000,10,6,9,4,
반려묘,모래 매트 사막화 방지,고양이모래매트,7000,30000,10,8,9,5,
반려묘,고양이 캣휠 러닝,캣휠,60000,220000,10,2,9,2,초대형
반려묘,고양이 창문 해먹,고양이해먹,8000,34000,10,9,9,4,
반려묘,고양이 자동 장난감,고양이자동장난감,11000,45000,10,9,3,4,전기용품 KC
반려묘,고양이 츄르 급여기,츄르홀더,3000,15000,10,10,9,4,
반려묘,고양이 하네스 리드,고양이하네스,6000,26000,10,10,9,5,
반려묘,고양이 탈취 스프레이,고양이탈취제,4000,19000,10,9,3,5,생활화학 신고
반려묘,캣도어 문 통로,캣도어,12000,48000,10,8,9,3,
러닝피트니스,러닝 벨트 폰수납,러닝벨트,4500,25000,10,10,10,5,검증 2년 우상향
러닝피트니스,러닝 조끼 하이드레이션,러닝조끼,18000,72000,10,9,10,4,벨트 업셀
러닝피트니스,TPE 요가매트,요가매트,11000,45000,10,6,9,5,층간소음 키워드
러닝피트니스,리프팅 벨트 헬스,리프팅벨트,12000,48000,10,9,9,4,
러닝피트니스,헬스 스트랩 그립,헬스스트랩,5000,22000,10,10,9,5,
러닝피트니스,저항 밴드 세트,저항밴드,6000,26000,10,10,9,5,
러닝피트니스,푸시업 바 그립,푸시업바,7000,30000,10,9,9,4,
러닝피트니스,줄넘기 디지털,줄넘기,5000,22000,10,10,8,5,
러닝피트니스,케틀벨 소형,케틀벨,14000,55000,10,4,9,3,중량물
러닝피트니스,러닝 암밴드 폰,암밴드,4000,19000,10,10,10,5,
러닝피트니스,스포츠 물통 보냉,스포츠물통,6000,26000,10,9,7,5,
러닝피트니스,요가 블록 스트랩,요가블록,5000,22000,10,9,9,5,
러닝피트니스,헬스 장갑,헬스장갑,4500,20000,10,10,9,5,
러닝피트니스,러닝화 깔창 쿠션,러닝깔창,4000,19000,10,10,8,5,
러닝피트니스,스포츠 헤어밴드,스포츠헤어밴드,2500,13000,10,10,10,5,
러닝피트니스,아쿠아 슈즈,아쿠아슈즈,7000,30000,10,10,9,5,여름
러닝피트니스,복싱 핸드랩,핸드랩,3500,17000,10,10,9,5,
러닝피트니스,밸런스 보드,밸런스보드,12000,48000,10,7,9,3,
러닝피트니스,스포츠 타월 냉감,냉감타월,4000,19000,10,10,9,5,여름
러닝피트니스,러닝 야간 반사밴드,반사밴드,3000,15000,10,10,9,5,
라켓구기,피클볼 라켓 세트,피클볼라켓,18000,80000,10,9,10,5,검증 +86% 최우선
라켓구기,피클볼 공 세트,피클볼공,5000,22000,10,10,10,5,소모품
라켓구기,피클볼 네트 이동식,피클볼네트,35000,130000,10,5,10,3,
라켓구기,테니스 그립테이프,테니스그립,3000,15000,10,10,10,5,소모품
라켓구기,테니스 라켓 가방,테니스가방,14000,58000,10,8,10,4,
라켓구기,배드민턴 셔틀콕,셔틀콕,6000,26000,10,9,10,5,소모품
라켓구기,배드민턴 라켓 커버,배드민턴커버,5000,22000,10,10,10,4,
라켓구기,축구 정강이 보호대,정강이보호대,5000,22000,10,10,8,5,2026 월드컵 반등
라켓구기,축구 양말 스타킹,축구양말,3500,17000,10,10,10,5,
라켓구기,축구공 사이즈별,축구공,9000,38000,10,8,9,5,
라켓구기,농구공 실내용,농구공,9000,38000,10,8,9,4,
라켓구기,탁구 라켓 세트,탁구라켓,8000,34000,10,9,10,5,
라켓구기,탁구공 대량,탁구공,3000,15000,10,10,10,5,소모품
라켓구기,야구 글러브 소년용,야구글러브,16000,62000,10,8,8,4,
라켓구기,배구공 실내,배구공,9000,38000,10,8,9,3,
라켓구기,라켓 스트링 릴,라켓스트링,7000,30000,10,10,10,5,소모품
라켓구기,스포츠 무릎 슬리브,무릎슬리브,4500,20000,10,10,6,5,
라켓구기,골키퍼 장갑,골키퍼장갑,7000,30000,10,10,9,4,
라켓구기,축구 마커콘 세트,마커콘,5000,22000,10,9,10,5,
라켓구기,휴대용 공기주입기,공기주입기,6000,26000,10,9,8,4,
캠핑아웃도어,캠핑 웨건 접이식,캠핑웨건,42000,150000,10,3,8,3,검증 +23% 역주행
캠핑아웃도어,경량 캠핑 의자,캠핑의자,16000,62000,10,5,9,4,
캠핑아웃도어,차박 에어매트,차박매트,22000,88000,10,5,9,4,차종별 키워드
캠핑아웃도어,캠핑 랜턴 LED,캠핑랜턴,11000,45000,10,9,3,4,전기용품 KC
캠핑아웃도어,캠핑 화로대,화로대,18000,70000,10,5,8,3,9-10월 피크
캠핑아웃도어,아이스박스 하드쿨러,아이스박스,32000,120000,10,3,9,3,여름 집중
캠핑아웃도어,캠핑 테이블 롤,캠핑테이블,20000,78000,10,4,9,3,
캠핑아웃도어,등산 스틱 카본,등산스틱,14000,55000,10,8,9,4,가을 집중
캠핑아웃도어,등산 배낭 중형,등산배낭,25000,95000,10,6,9,4,
캠핑아웃도어,캠핑 타프 그늘막,타프,26000,98000,10,5,9,3,
캠핑아웃도어,캠핑 해먹,해먹,12000,48000,10,7,9,4,
캠핑아웃도어,침낭 3계절,침낭,22000,85000,10,4,9,4,
캠핑아웃도어,캠핑 식기 세트,캠핑식기,11000,45000,10,7,5,5,
캠핑아웃도어,휴대용 부탄 버너,캠핑버너,15000,58000,10,7,3,3,안전인증 필수
캠핑아웃도어,캠핑 그물 선반,캠핑선반,9000,38000,10,8,9,4,
캠핑아웃도어,방수 드라이백,드라이백,7000,30000,10,10,9,5,
캠핑아웃도어,캠핑 매트 자충,자충매트,18000,70000,10,5,9,4,
캠핑아웃도어,휴대용 손전등 방수,손전등,6000,26000,10,10,4,5,
캠핑아웃도어,캠핑 화롯대 장갑,캠핑장갑,4500,20000,10,10,9,5,
캠핑아웃도어,캠핑 팩 해머 세트,캠핑팩,7000,30000,10,8,9,5,
